scientific_name,common_name,meaning,diet,length_m,weight_kg,height_m,locomotion,geological_period,lived_in,behavior_notes,first_discovered,fossil_location,notable_features,intelligence_level,source_link,row_index
Diodorus,Diodorus,Diodorus lizard,Carnivore,2.5,100.0,1.2,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2007,USA,Small theropod,Small,https://en.wikipedia.org/wiki/Diodorus,1279
Diuqin,Diuqin,Diuqin lizard,Herbivore,7.0,3500.0,2.5,Quadrupedal,Late Jurassic,Asia,Sauropod dinosaur,2018,China,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Diuqin,1280
Dornraptor,Dornraptor,Thorn thief,Carnivore,3.0,80.0,1.5,Bipedal,Late Jurassic,Europe,Theropod dinosaur,2016,UK,Small theropod,Small,https://en.wikipedia.org/wiki/Dornraptor,1281
Dravidosaurus,Dravidosaurus,Dravido lizard,Herbivore,5.0,2000.0,2.0,Quadrupedal,Late Cretaceous,Asia,Stegosaur dinosaur,1986,India,Medium stegosaur,Medium,https://en.wikipedia.org/wiki/Dravidosaurus,1282
Dromomeron,Dromomeron,Running femur,Carnivore,1.0,15.0,0.4,Bipedal,Late Triassic,North America,Theropod dinosaur,2007,USA,Small early theropod,Small,https://en.wikipedia.org/wiki/Dromomeron,1283
Duonychus,Duonychus,Two-claw,Carnivore,3.0,100.0,1.5,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2006,USA,Small theropod,Small,https://en.wikipedia.org/wiki/Duonychus,1284
Dzharacursor,Dzharacursor,Dzhara runner,Carnivore,1.0,10.0,0.3,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2009,Asia,Small ornithomimid,Small,https://en.wikipedia.org/wiki/Dzharacursor,1285
Dzharaonyx,Dzharaonyx,Dzhara claw,Carnivore,2.5,40.0,1.0,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2013,Asia,Small theropod,Small,https://en.wikipedia.org/wiki/Dzharaonyx,1286
Dzharatitanis,Dzharatitanis,Dzhara titan,Herbivore,25.0,35000.0,7.0,Quadrupedal,Late Cretaceous,Asia,Sauropod dinosaur,2021,Asia,Large sauropod,Large,https://en.wikipedia.org/wiki/Dzharatitanis,1287
Edmarka,Edmarka,Edmarka lizard,Carnivore,3.0,90.0,1.5,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2018,USA,Medium theropod,Medium,https://en.wikipedia.org/wiki/Edmarka,1288
Elemgasem,Elemgasem,Elemgasem hunter,Carnivore,6.0,1000.0,3.5,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2020,Argentina,Large predator,Large,https://en.wikipedia.org/wiki/Elemgasem,1289
Emiliasaura,Emiliasaura,Emilia lizard,Herbivore,3.0,700.0,1.0,Bipedal,Late Cretaceous,South America,Ornithopod dinosaur,2019,Argentina,Small ornithopod,Small,https://en.wikipedia.org/wiki/Emiliasaura,1290
Eobrontosaurus,Eobrontosaurus,Ancient thunder lizard,Herbivore,20.0,20000.0,6.0,Quadrupedal,Jurassic,North America,Sauropod dinosaur,2000,USA,Large sauropod,Large,https://en.wikipedia.org/wiki/Eobrontosaurus,1291
Eoneophron,Eoneophron,Ancient bird,Carnivore,0.5,0.3,0.2,Bipedal,Jurassic,Europe,Avialan,1997,Europe,Small early bird,Small,https://en.wikipedia.org/wiki/Eoneophron,1292
Eoplophysis,Eoplophysis,Ancient armor,Herbivore,2.0,50.0,1.2,Quadrupedal,Jurassic,Europe,Ankylosaur dinosaur,1990,Europe,Small armored dinosaur,Small,https://en.wikipedia.org/wiki/Eoplophysis,1293
Erythrovenator,Erythrovenator,Red hunter,Carnivore,4.0,150.0,1.7,Bipedal,Late Triassic,South America,Theropod dinosaur,2019,Brazil,Medium theropod,Medium,https://en.wikipedia.org/wiki/Erythrovenator,1294
Eucoelophysis,Eucoelophysis,True hollow form,Carnivore,2.0,50.0,1.0,Bipedal,Late Triassic,North America,Theropod dinosaur,1998,USA,Small theropod,Small,https://en.wikipedia.org/wiki/Eucoelophysis,1295
Ferganastegos,Ferganastegos,Fergana armored,Herbivore,5.0,1500.0,2.0,Quadrupedal,Jurassic,Asia,Stegosaur dinosaur,2019,Uzbekistan,Medium stegosaur,Medium,https://en.wikipedia.org/wiki/Ferganastegos,1296
Fona,Fona,Fona lizard,Herbivore,3.5,700.0,1.2,Bipedal,Jurassic,Europe,Theropod dinosaur,2019,Europe,Small theropod,Small,https://en.wikipedia.org/wiki/Fona,1297
Foraminacephale,Foraminacephale,Foramina head,Herbivore,3.5,900.0,1.2,Quadrupedal,Late Cretaceous,North America,Pachycephalosaur dinosaur,2011,Canada,Small pachycephalosaur,Small,https://en.wikipedia.org/wiki/Foraminacephale,1298
Fosterovenator,Fosterovenator,Foster hunter,Carnivore,2.5,80.0,1.2,Bipedal,Late Jurassic,North America,Theropod dinosaur,2008,USA,Small theropod,Small,https://en.wikipedia.org/wiki/Fosterovenator,1299
Furcatoceratops,Furcatoceratops,Forked horned face,Herbivore,5.0,1500.0,2.0,Quadrupedal,Late Cretaceous,North America,Ceratopsian dinosaur,2019,USA,Medium ceratopsian,Medium,https://en.wikipedia.org/wiki/Furcatoceratops,1300
Fylax,Fylax,Fylax guardian,Carnivore,3.0,300.0,1.5,Bipedal,Late Cretaceous,Europe,Theropod dinosaur,2020,Europe,Medium theropod,Medium,https://en.wikipedia.org/wiki/Fylax,1301
Galveosaurus,Galveosaurus,Galve lizard,Herbivore,8.0,4000.0,3.0,Quadrupedal,Late Jurassic,Europe,Sauropod dinosaur,2005,Spain,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Galveosaurus,1302
Gandititan,Gandititan,Gandi titan,Herbivore,22.0,25000.0,7.0,Quadrupedal,Late Cretaceous,Asia,Sauropod dinosaur,2005,India,Large sauropod,Large,https://en.wikipedia.org/wiki/Gandititan,1303
Garrigatitan,Garrigatitan,Garriga titan,Herbivore,24.0,30000.0,7.5,Quadrupedal,Late Cretaceous,Europe,Sauropod dinosaur,2018,Spain,Large sauropod,Large,https://en.wikipedia.org/wiki/Garrigatitan,1304
Garumbatitan,Garumbatitan,Garumba titan,Herbivore,20.0,20000.0,6.5,Quadrupedal,Late Cretaceous,South America,Sauropod dinosaur,2020,Argentina,Large sauropod,Large,https://en.wikipedia.org/wiki/Garumbatitan,1305
Gastonia (genus also refers to a plant),Gastonia,Gastonia,Herbivore,6.0,3500.0,2.5,Quadrupedal,Jurassic,North America,Ankylosaur dinosaur,1998,USA,Medium ankylosaur,Medium,https://en.wikipedia.org/wiki/Gastonia,1306
Gobihadros,Gobihadros,Gobi hadrosaur,Herbivore,7.0,3500.0,2.5,Bipedal,Late Cretaceous,Asia,Hadrosaur dinosaur,2016,Mongolia,Medium hadrosaur,Medium,https://en.wikipedia.org/wiki/Gobihadros,1307
Gonkoken,Gonkoken,Gonkoken,Herbivore,8.0,4000.0,3.0,Bipedal,Late Cretaceous,South America,Hadrosaur dinosaur,2021,Chile,Medium hadrosaur,Medium,https://en.wikipedia.org/wiki/Gonkoken,1308
Gremlin,Gremlin,Gremlin,Carnivore,2.0,50.0,1.0,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2022,USA,Small theropod,Small,https://en.wikipedia.org/wiki/Gremlin,1309
Guemesia,Guemesia,Guemesia,Carnivore,3.5,150.0,1.5,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2021,Argentina,Medium theropod,Medium,https://en.wikipedia.org/wiki/Guemesia,1310
Haestasaurus,Haestasaurus,Haesta lizard,Herbivore,22.0,25000.0,7.0,Quadrupedal,Jurassic,Europe, Sauropod dinosaur,2014,UK,Large sauropod,Large,https://en.wikipedia.org/wiki/Haestasaurus,1311
Halszkaraptor,Halszkaraptor,Halszkaraptor,Carnivore,2.0,30.0,1.0,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2017,Mongolia,Small theropod,Small,https://en.wikipedia.org/wiki/Halszkaraptor,1312
Hamititan,Hamititan,Hami titan,Herbivore,20.0,20000.0,6.5,Quadrupedal,Late Cretaceous,Asia,Sauropod dinosaur,2012,China,Large sauropod,Large,https://en.wikipedia.org/wiki/Hamititan,1313
Harenadraco,Harenadraco,Harena dragon,Carnivore,1.5,20.0,0.8,Bipedal,Late Cretaceous,Europe,Theropod dinosaur,2017,Europe,Small theropod,Small,https://en.wikipedia.org/wiki/Harenadraco,1314
Hesperonyx,Hesperonyx,Hesperonyx,Carnivore,3.0,100.0,1.5,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2009,USA,Medium theropod,Medium,https://en.wikipedia.org/wiki/Hesperonyx,1315
Hesperornithoides,Hesperornithoides,Bird-like hunter,Carnivore,0.8,1.0,0.3,Bipedal,Late Jurassic,North America,Avialan dinosaur,2019,USA,Small bird-like dinosaur,Small,https://en.wikipedia.org/wiki/Hesperornithoides,1316
Hongshanosaurus,Hongshanosaurus,Hongshan lizard,Herbivore,6.0,2500.0,2.0,Bipedal,Late Cretaceous,Asia,Hadrosaur dinosaur,2007,China,Medium hadrosaur,Medium,https://en.wikipedia.org/wiki/Hongshanosaurus,1317
Huadanosaurus,Huadanosaurus,Huada lizard,Herbivore,7.0,3500.0,2.5,Bipedal,Late Cretaceous,Asia,Hadrosaur dinosaur,2013,China,Medium hadrosaur,Medium,https://en.wikipedia.org/wiki/Huadanosaurus,1318
Hualianceratops,Hualianceratops,Hualian horned face,Herbivore,3.0,150.0,1.0,Bipedal,Late Cretaceous,Asia,Ceratopsian dinosaur,2015,China,Small ceratopsian,Small,https://en.wikipedia.org/wiki/Hualianceratops,1319
Huallasaurus,Huallasaurus,Hualla lizard,Herbivore,7.0,3500.0,2.5,Bipedal,Late Cretaceous,South America,Hadrosaur dinosaur,2018,Argentina,Medium hadrosaur,Medium,https://en.wikipedia.org/wiki/Huallasaurus,1320
Huanansaurus,Huanansaurus,Huanan lizard,Herbivore,7.0,3000.0,2.3,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2012,China,Medium theropod,Medium,https://en.wikipedia.org/wiki/Huanansaurus,1321
Huangshanlong,Huangshanlong,Huangshan dragon,Herbivore,20.0,25000.0,7.0,Quadrupedal,Late Cretaceous,Asia,Sauropod dinosaur,2014,China,Large sauropod,Large,https://en.wikipedia.org/wiki/Huangshanlong,1322
Huaxiazhoulong,Huaxiazhoulong,Huaxiazhou dragon,Herbivore,18.0,23000.0,6.5,Quadrupedal,Late Jurassic,Asia,Sauropod dinosaur,2019,China,Large sauropod,Large,https://en.wikipedia.org/wiki/Huaxiazhoulong,1323
Huinculsaurus,Huinculsaurus,Huincul lizard,Carnivore,8.0,2500.0,3.0,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2004,Argentina,Medium theropod,Medium,https://en.wikipedia.org/wiki/Huinculsaurus,1324
Hypnovenator,Hypnovenator,Hypno hunter,Carnivore,2.0,50.0,1.0,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2017,USA,Small theropod,Small,https://en.wikipedia.org/wiki/Hypnovenator,1325
Iani,Iani,Iani,Herbivore,2.0,100.0,1.2,Bipedal,Late Cretaceous,North America,Ornithopod dinosaur,2023,USA,Small ornithopod,Small,https://en.wikipedia.org/wiki/Iani,1326
Iberospinus,Iberospinus,Iberian spine,Carnivore,9.0,4500.0,3.5,Bipedal,Late Cretaceous,Europe,Theropod dinosaur,2021,Spain,Large spinosaur,Medium,https://en.wikipedia.org/wiki/Iberospinus,1327
Ibirania,Ibirania,Ibirania,Herbivore,7.5,4000.0,2.5,Bipedal,Late Cretaceous,South America,Titanosaur dinosaur,2022,Brazil,Large titanosaur,Large,https://en.wikipedia.org/wiki/Ibirania,1328
Igai,Igai,Igai,Herbivore,6.0,3500.0,2.3,Bipedal,Late Cretaceous,North Africa,Titanosaur dinosaur,2021,Morocco,Medium titanosaur,Medium,https://en.wikipedia.org/wiki/Igai,1329
Ignotosaurus,Ignotosaurus,Unknown lizard,Herbivore,7.0,3500.0,2.5,Bipedal,Late Cretaceous,South America,Titanosaur dinosaur,2019,Argentina,Large titanosaur,Large,https://en.wikipedia.org/wiki/Ignotosaurus,1330
Inawentu,Inawentu,Unexpected,Herbivore,5.0,2000.0,2.0,Bipedal,Late Cretaceous,South America,Titanosaur dinosaur,2017,Argentina,Medium titanosaur,Medium,https://en.wikipedia.org/wiki/Inawentu,1331
Ingentia,Ingentia,Huge one,Herbivore,10.0,8000.0,4.5,Bipedal,Late Jurassic,South America,Sauropod dinosaur,2015,Argentina,Large sauropod,Large,https://en.wikipedia.org/wiki/Ingentia,1332
Invictarx,Invictarx,Unconquered shield,Herbivore,6.0,3500.0,2.5,Quadrupedal,Late Cretaceous,North America,Ankylosaur dinosaur,2018,USA,Medium ankylosaur,Medium,https://en.wikipedia.org/wiki/Invictarx,1333
Irisosaurus,Irisosaurus,Iris lizard,Herbivore,5.0,2000.0,2.0,Bipedal,Early Jurassic,Asia,Theropod dinosaur,2019,China,Small theropod,Small,https://en.wikipedia.org/wiki/Irisosaurus,1334
Isasicursor,Isasicursor,Isasi runner,Carnivore,3.0,100.0,1.0,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2018,Argentina,Small theropod,Small,https://en.wikipedia.org/wiki/Isasicursor,1335
Ischioceratops,Ischioceratops,Ischio horned face,Herbivore,2.5,150.0,1.0,Bipedal,Late Cretaceous,North America,Ceratopsian dinosaur,2016,USA,Small ceratopsian,Small,https://en.wikipedia.org/wiki/Ischioceratops,1336
Issi,Issi,Issi lizard,Herbivore,3.0,200.0,1.2,Bipedal,Early Jurassic,South America,Theropod dinosaur,2018,Argentina,Small theropod,Small,https://en.wikipedia.org/wiki/Issi,1337
Ixalerpeton,Ixalerpeton,Ixa creeper,Herbivore,0.8,10.0,0.3,Bipedal,Early Triassic,South America,Pre-dinosaur reptile,2019,Argentina,Tiny reptile,Tiny,https://en.wikipedia.org/wiki/Ixalerpeton,1338
Iyuku,Iyuku,Iyuku lizard,Herbivore,1.5,50.0,0.7,Bipedal,Late Cretaceous,Africa,Theropod dinosaur,2019,South Africa,Small theropod,Small,https://en.wikipedia.org/wiki/Iyuku,1339
Jaculinykus,Jaculinykus,Jaculi claw,Carnivore,1.0,20.0,0.6,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2007,Mongolia,Small theropod,Small,https://en.wikipedia.org/wiki/Jaculinykus,1340
Jiangxititan,Jiangxititan,Jiangxi titan,Herbivore,20.0,22000.0,7.0,Quadrupedal,Late Cretaceous,Asia,Sauropod dinosaur,2019,China,Large sauropod,Large,https://en.wikipedia.org/wiki/Jiangxititan,1341
Jianianhualong,Jianianhualong,Jianianhua dragon,Carnivore,3.0,150.0,1.5,Bipedal,Late Cretaceous,Asia,Feathered theropod,2017,China,Medium theropod,Medium,https://en.wikipedia.org/wiki/Jianianhualong,1342
Jinbeisaurus,Jinbeisaurus,Jinbei lizard,Carnivore,6.0,2000.0,2.3,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2022,China,Medium theropod,Medium,https://en.wikipedia.org/wiki/Jinbeisaurus,1343
Jinchuanloong,Jinchuanloong,Jinchuan dragon,Herbivore,18.0,21000.0,6.5,Quadrupedal,Late Jurassic,Asia,Sauropod dinosaur,2019,China,Large sauropod,Large,https://en.wikipedia.org/wiki/Jinchuanloong,1344
Jingiella (was,Jingiella,Jingi lizard,Herbivore,4.0,1500.0,2.0,Bipedal,Late Jurassic,Asia,Sauropod dinosaur,2017,China,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Jingiella,1345
Jinyunpelta,Jinyunpelta,Jinyun shield,Herbivore,5.0,2500.0,2.0,Quadrupedal,Late Cretaceous,Asia,Ankylosaur dinosaur,2018,China,Medium ankylosaur,Medium,https://en.wikipedia.org/wiki/Jinyunpelta,1346
"Kaijutitan (genus, Kaiju Titan, also refers to Japanese movie monsters)",Kaijutitan,Kaiju titan,Herbivore,28.0,35000.0,7.5,Quadrupedal,Late Cretaceous,Asia,Sauropod dinosaur,2020,China,Huge sauropod,Huge,https://en.wikipedia.org/wiki/Kaijutitan,1347
Kansaignathus,Kansaignathus,Kansai jaw,Carnivore,3.0,150.0,1.5,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2017,Japan,Small theropod,Small,https://en.wikipedia.org/wiki/Kansaignathus,1348
Kelumapusaura,Kelumapusaura,Keluma lizard,Herbivore,6.0,3000.0,2.5,Bipedal,Late Cretaceous,South America,Hadrosaur dinosaur,2020,Argentina,Medium hadrosaur,Medium,https://en.wikipedia.org/wiki/Kelumapusaura,1349
Kemkemia,Kemkemia,Kemkem river,Herbivore,8.0,4000.0,3.0,Bipedal,Late Cretaceous,Africa,Theropod dinosaur,2009,Egypt,Medium theropod,Medium,https://en.wikipedia.org/wiki/Kemkemia,1350
Khankhuuluu,Khankhuuluu,Khankhuuluu,Herbivore,6.0,3500.0,2.5,Bipedal,Late Cretaceous,Asia,Sauropod dinosaur,2019,Mongolia,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Khankhuuluu,1351
Kholumolumo,Kholumolumo,Kholumolumo,Herbivore,5.0,3000.0,2.0,Bipedal,Late Triassic,Africa,Pre-dinosaur reptile,2017,Tanzania,Medium reptile,Medium,https://en.wikipedia.org/wiki/Kholumolumo,1352
Khulsanurus,Khulsanurus,Khulsan lizard,Carnivore,4.0,1000.0,1.8,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2016,Mongolia,Medium theropod,Medium,https://en.wikipedia.org/wiki/Khulsanurus,1353
Kiyacursor,Kiyacursor,Kiya runner,Carnivore,2.0,50.0,1.0,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2017,Mongolia,Small theropod,Small,https://en.wikipedia.org/wiki/Kiyacursor,1354
"Kol (genus also refers to foot, köl in Mongolian)",Kol,Kol,Herbivore,3.0,200.0,1.2,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2018,Mongolia,Small theropod,Small,https://en.wikipedia.org/wiki/Kol,1355
Koleken,Koleken,Koleken,Herbivore,5.0,2000.0,2.0,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2021,Argentina,Small theropod,Small,https://en.wikipedia.org/wiki/Koleken,1356
Kuru (genus also refers to a prion disease),Kuru,Kuru,Herbivore,1.5,30.0,0.5,Bipedal,Late Triassic,Asia,Pre-dinosaur reptile,2019,Mongolia,Tiny reptile,Tiny,https://en.wikipedia.org/wiki/Kuru,1357
Kurupi,Kurupi,Mythical creature (Guaraní mythology),Herbivore,3.0,250.0,1.2,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2021,Argentina,Small theropod,Small,https://en.wikipedia.org/wiki/Kurupi,1358
Kwanasaurus,Kwanasaurus,Kwana lizard,Herbivore,7.0,3000.0,2.5,Bipedal,Late Cretaceous,South America,Sauropod dinosaur,2018,Argentina,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Kwanasaurus,1359
Laiyangosaurus,Laiyangosaurus,Laiyang lizard,Herbivore,6.0,3500.0,2.3,Bipedal,Late Cretaceous,Asia,Hadrosaur dinosaur,2017,China,Medium hadrosaur,Medium,https://en.wikipedia.org/wiki/Laiyangosaurus,1360
Lanasaurus,Lanasaurus,Lana lizard,Herbivore,4.0,1500.0,2.0,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2018,China,Small theropod,Small,https://en.wikipedia.org/wiki/Lanasaurus,1361
Lavocatisaurus,Lavocatisaurus,Lavocat's lizard,Herbivore,18.0,15000.0,6.5,Quadrupedal,Late Cretaceous,South America,Sauropod dinosaur,1999,Argentina,Large sauropod,Large,https://en.wikipedia.org/wiki/Lavocatisaurus,1362
Ledumahadi,Ledumahadi,Great thunder,Herbivore,25.0,35000.0,7.0,Quadrupedal,Early Jurassic,Africa,Sauropod dinosaur,2015,South Africa,Huge sauropod,Huge,https://en.wikipedia.org/wiki/Ledumahadi,1363
Leinkupal (not Leikupal),Leinkupal,Destroyer of friends,Herbivore,9.0,5000.0,3.5,Quadrupedal,Early Cretaceous,South America,Sauropod dinosaur,2014,Argentina,Large sauropod,Large,https://en.wikipedia.org/wiki/Leinkupal,1364
Lepidus,Lepidus,Charming,Herbivore,6.5,4000.0,3.0,Bipedal,Late Jurassic,North America,Theropod dinosaur,2012,USA,Medium theropod,Medium,https://en.wikipedia.org/wiki/Lepidus,1365
Leptorhynchos (genus also refers to a plant),Leptorhynchos,Slender beak,Herbivore,2.0,200.0,1.0,Bipedal,Late Cretaceous,North America,Oviraptorosaur dinosaur,2007,USA,Small theropod,Small,https://en.wikipedia.org/wiki/Leptorhynchos,1366
Liaoningotitan,Liaoningotitan,Liaoning titan,Herbivore,22.0,28000.0,6.5,Quadrupedal,Late Cretaceous,Asia,Sauropod dinosaur,2019,China,Large sauropod,Large,https://en.wikipedia.org/wiki/Liaoningotitan,1367
Liaoningvenator,Liaoningvenator,Liaoning hunter,Carnivore,3.5,150.0,1.5,Bipedal,Late Jurassic,Asia,Theropod dinosaur,2019,China,Small theropod,Small,https://en.wikipedia.org/wiki/Liaoningvenator,1368
Limnosaurus,Limnosaurus,Marsh lizard,Herbivore,5.0,2500.0,2.0,Bipedal,Late Jurassic,Asia,Theropod dinosaur,2006,China,Medium theropod,Medium,https://en.wikipedia.org/wiki/Limnosaurus,1369
Lingyuanosaurus,Lingyuanosaurus,Lingyuan lizard,Herbivore,7.0,3500.0,2.5,Bipedal,Late Jurassic,Asia,Ornithischian dinosaur,2009,China,Medium ornithischian,Medium,https://en.wikipedia.org/wiki/Lingyuanosaurus,1370
Lishulong,Lishulong,Lishu dragon,Herbivore,12.0,9000.0,4.0,Quadrupedal,Late Jurassic,Asia,Stegosaur dinosaur,2010,China,Large stegosaur,Large,https://en.wikipedia.org/wiki/Lishulong,1371
Llukalkan,Llukalkan,Fierce one,Carnivore,5.0,2000.0,2.0,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2019,Argentina,Medium theropod,Medium,https://en.wikipedia.org/wiki/Llukalkan,1372
Lohuecotitan,Lohuecotitan,Lohueco titan,Herbivore,15.0,12000.0,5.5,Quadrupedal,Late Cretaceous,Europe,Sauropod dinosaur,2017,Spain,Large sauropod,Large,https://en.wikipedia.org/wiki/Lohuecotitan,1373
Lokiceratops,Lokiceratops,Loki horned face,Herbivore,4.0,1500.0,2.0,Bipedal,Late Cretaceous,Asia,Ceratopsian dinosaur,2019,China,Medium ceratopsian,Medium,https://en.wikipedia.org/wiki/Lokiceratops,1374
Loricosaurus,Loricosaurus,Armored lizard,Herbivore,6.0,3000.0,2.5,Quadrupedal,Late Jurassic,Europe,Ankylosaur dinosaur,2015,Portugal,Medium ankylosaur,Medium,https://en.wikipedia.org/wiki/Loricosaurus,1375
Lucianovenator,Lucianovenator,Luciano's hunter,Carnivore,4.0,1800.0,1.7,Bipedal,Late Jurassic,South America,Theropod dinosaur,2017,Argentina,Medium theropod,Medium,https://en.wikipedia.org/wiki/Lucianovenator,1376
Lukousaurus,Lukousaurus,Lukou lizard,Carnivore,5.0,2000.0,2.0,Bipedal,Late Jurassic,Asia,Theropod dinosaur,1999,China,Medium theropod,Medium,https://en.wikipedia.org/wiki/Lukousaurus,1377
Lusovenator,Lusovenator,Luso hunter,Carnivore,6.0,3000.0,2.5,Bipedal,Late Jurassic,Europe,Theropod dinosaur,2019,Portugal,Medium theropod,Medium,https://en.wikipedia.org/wiki/Lusovenator,1378
Lutungutali,Lutungutali,Lutungutali,Herbivore,1.0,50.0,0.5,Bipedal,Early Triassic,Africa,Pre-dinosaur reptile,2010,Tanzania,Small reptile,Small,https://en.wikipedia.org/wiki/Lutungutali,1379
Machairoceratops,Machairoceratops,Sword horned face,Herbivore,4.5,1800.0,2.0,Bipedal,Late Cretaceous,North America,Ceratopsian dinosaur,2016,USA,Medium ceratopsian,Medium,https://en.wikipedia.org/wiki/Machairoceratops,1380
Macrocollum,Macrocollum,Long neck,Herbivore,7.5,5000.0,3.0,Bipedal,Late Triassic,South America,Sauropodomorph dinosaur,2012,Brazil,Medium sauropodomorph,Medium,https://en.wikipedia.org/wiki/Macrocollum,1381
Mahakala (genus also refers to a Buddhist diety),Mahakala,Great protector,Carnivore,1.5,50.0,0.7,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2006,Mongolia,Small theropod,Small,https://en.wikipedia.org/wiki/Mahakala,1382
Mahuidacursor,Mahuidacursor,Mahui runner,Carnivore,3.0,150.0,1.5,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2019,Argentina,Small theropod,Small,https://en.wikipedia.org/wiki/Mahuidacursor,1383
Maip,Maip,Maip demon,Carnivore,6.0,3000.0,2.5,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2018,Argentina,Medium theropod,Medium,https://en.wikipedia.org/wiki/Maip,1384
Malefica,Malefica,Evil one,Carnivore,3.5,200.0,1.2,Bipedal,Late Cretaceous,Europe,Theropod dinosaur,2019,Spain,Small theropod,Small,https://en.wikipedia.org/wiki/Malefica,1385
Maleriraptor,Maleriraptor,Maleri thief,Carnivore,4.0,1000.0,1.8,Bipedal,Late Jurassic,Asia,Theropod dinosaur,2019,India,Medium theropod,Medium,https://en.wikipedia.org/wiki/Maleriraptor,1386
Mansourasaurus,Mansourasaurus,Mansoura lizard,Herbivore,10.0,6000.0,4.0,Quadrupedal,Late Cretaceous,Africa,Sauropod dinosaur,2018,Egypt,Large sauropod,Large,https://en.wikipedia.org/wiki/Mansourasaurus,1387
Maojandino,Maojandino,Maojan dinosaur,Herbivore,7.0,3500.0,2.5,Bipedal,Late Jurassic,Asia,Theropod dinosaur,2019,China,Medium theropod,Medium,https://en.wikipedia.org/wiki/Maojandino,1388
Maraapunisaurus,Maraapunisaurus,Maraapuni lizard,Herbivore,30.0,35000.0,7.5,Quadrupedal,Late Jurassic,North America,Sauropod dinosaur,2018,USA,Large sauropod,Large,https://en.wikipedia.org/wiki/Maraapunisaurus,1389
Mbiresaurus,Mbiresaurus,Mbire lizard,Herbivore,5.0,3000.0,2.5,Bipedal,Late Triassic,Africa,Sauropodomorph dinosaur,2021,Zimbabwe,Medium sauropodomorph,Medium,https://en.wikipedia.org/wiki/Mbiresaurus,1390
Menefeeceratops,Menefeeceratops,Menefee horned face,Herbivore,6.0,3500.0,2.3,Bipedal,Late Cretaceous,North America,Ceratopsian dinosaur,2021,USA,Medium ceratopsian,Medium,https://en.wikipedia.org/wiki/Menefeeceratops,1391
Menucocelsior,Menucocelsior,Menuco noble,Herbivore,8.0,7000.0,3.5,Quadrupedal,Late Cretaceous,South America,Sauropod dinosaur,2021,Argentina,Large sauropod,Large,https://en.wikipedia.org/wiki/Menucocelsior,1392
Meraxes,Meraxes,Meraxes (mythical name),Carnivore,10.0,8000.0,4.0,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2020,Argentina,Large theropod,Large,https://en.wikipedia.org/wiki/Meraxes,1393
Meroktenos,Meroktenos,Black swimmer,Herbivore,7.0,4000.0,3.0,Bipedal,Early Jurassic,Africa,Sauropodomorph dinosaur,2009,South Africa,Medium sauropodomorph,Medium,https://en.wikipedia.org/wiki/Meroktenos,1394
Mexidracon,Mexidracon,Mexican dragon,Carnivore,5.0,2500.0,2.0,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2019,Mexico,Medium theropod,Medium,https://en.wikipedia.org/wiki/Mexidracon,1395
Mierasaurus,Mierasaurus,Miera lizard,Herbivore,6.5,3500.0,2.5,Bipedal,Early Cretaceous,North America,Sauropod dinosaur,2018,USA,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Mierasaurus,1396
Migmanychion,Migmanychion,Powerful claw,Carnivore,3.0,150.0,1.5,Bipedal,Late Jurassic,North America,Theropod dinosaur,2020,USA,Small theropod,Small,https://en.wikipedia.org/wiki/Migmanychion,1397
